"tPi_ns","Delta_g3_minus_g3prime","clean_infidelity","clean_leakage","qs_infidelity","qs_leakage","onef_infidelity","onef_leakage"
866.0254037844386,1,8.828493491819245e-13,8.82738326879462e-13,0.000510385045512381,9.864426119110536e-8,0.00028723833783009077,5.578755117163769e-7
787.2958216222169,1.1,5.273448344667031e-12,5.2733373223645685e-12,0.00041195204242073846,1.1125275341694607e-7,0.00020177458734164377,5.228266832951745e-7
721.6878364870322,1.2,4.76718664543796e-12,4.767075623135497e-12,0.00038562691923781035,9.538767649863721e-8,0.00021808273985625238,5.003915078660714e-7
666.1733875264912,1.3,9.369838238626471e-12,9.369949260928934e-12,0.00032025668011074094,1.16381877319216e-7,0.0001713043294003952,5.30424414488806e-7
618.5895741317419,1.4,7.705391880108436e-12,7.705391880108436e-12,0.00025712360544261905,1.2928588189797806e-7,0.000139760849056606,4.806692989389738e-7
577.3502691896257,1.5,7.282174863121327e-12,7.281952818516402e-12,0.00025230723947871904,1.0846532752462057e-7,0.00012422305707386117,4.3580036158841204e-7
541.2658773652742,1.6,7.719269667916251e-12,7.719158645613788e-12,0.00022418143320274253,1.0019793365623198e-7,0.00010480425650465364,4.405568305354546e-7
509.42670810849336,1.7,5.136446823428287e-12,5.136557845730749e-12,0.00020316104008175683,1.1211910320607644e-7,0.00010700489403222823,4.418536105982307e-7
481.12522432468813,1.8,2.2971624602519114e-12,2.297273482554374e-12,0.0001830100657574396,1.152507248852741e-7,0.00009825058757346905,3.8211999236204e-7
455.8028440970729,1.9000000000000001,9.204637052562248e-12,9.204637052562248e-12,0.00013391955269493773,1.1894419162716829e-7,0.00007151505804846803,3.776919885367658e-7
433.0127018922193,2,7.700506898800086e-13,7.698286452750835e-13,0.00015484654672224597,9.213520462791891e-8,0.00008336591232333213,3.6639461507226303e-7
412.3930494211612,2.1,9.813594381569146e-12,9.813261314661759e-12,0.00014603766626971882,1.3808551036109674e-7,0.00006641380555280518,3.808117095810415e-7
393.64791081110843,2.2,1.1253220577600587e-12,1.1253220577600587e-12,0.00013081572327981793,8.519974452447787e-8,0.00006417873163569621,3.2241668453170115e-7
376.5327842541037,2.3000000000000003,6.326272838919067e-12,6.326050794314142e-12,0.00011352038178787826,1.1474844827996656e-7,0.000059363747811924107,3.4171908822377974e-7
360.8439182435161,2.4,8.210654378615345e-12,8.210654378615345e-12,0.00011616761694164479,1.2569673773998867e-7,0.00005298884650158653,3.4164278436554784e-7
346.41016151377545,2.5,9.536815781530095e-14,9.525713551283843e-14,0.00011371588925657317,1.0452843708708137e-7,0.00005629778255005158,3.2880992425265985e-7
333.0866937632456,2.6,5.7276405840411826e-12,5.72752956173872e-12,0.00012146047442588015,1.2097070173799906e-7,0.000047621270693079534,3.006891638157594e-7
320.750149549792,2.7,9.738099215894636e-12,9.737988193592173e-12,0.00007944762852133802,1.2337810442630826e-7,0.00004210936011647848,3.033018124881659e-7
309.2947870658709,2.8000000000000003,3.180677943248611e-12,3.1805669209461485e-12,0.00010707026195755087,1.1064448686759487e-7,0.000039000092166253666,2.878989895821471e-7
298.6294495808409,2.9,4.610756221268275e-13,4.6118664442929e-13,0.00007272891438002527,7.349607010820325e-8,0.00003698906730992768,2.865530566359409e-7
